,Symbol,Name,Industry,IndustryCode
121,SIRI,Sirius XM Holdings Inc,미디어 및 출판,533020
122,LI,Li Auto Inc ADR,자동차 및 자동차 부품,531010
123,NTRS,Northern Trust Corp,투자은행 및 서비스,551020
124,TSCO,Tractor Supply Co,전문품 상점,534030
125,GFS,Globalfoundries Inc,반도체 및 반도체 장비,571010
126,RPRX,Royalty Pharma PLC Class A,제약,562010
127,MDB,MongoDB Inc Class A,소프트웨어 및 IT서비스,572010
128,FANG,Diamondback Energy Inc,오일 및 가스,501020
129,ON,ON Semiconductor Corp,반도체 및 반도체 장비,571010
130,VRSN,Verisign Inc,소프트웨어 및 IT서비스,572010
131,SWKS,Skyworks Solutions Inc,반도체 및 반도체 장비,571010
132,STX,Seagate Technology Holdings PLC,"컴퓨터, 전화 및 가전제품",571060
133,SGEN,Seagen Inc,생명과학 및 메디컬 리서치,562020
134,APP,Applovin Corp Class A,소프트웨어 및 IT서비스,572010
135,DOCU,DocuSign Inc,소프트웨어 및 IT서비스,572010
136,HBAN,Huntington Bancshares Inc,은행,551010
137,GRAB,Grab Holdings Ltd Class A,소프트웨어 및 IT서비스,572010
138,ICLR,ICON PLC,생명과학 및 메디컬 리서치,562020
139,LBRDK,Liberty Broadband Corp Series C,미디어 및 출판,533020
140,BGNE,Beigene Ltd ADR,생명과학 및 메디컬 리서치,562020
141,GMAB,Genmab A/S ADR,생명과학 및 메디컬 리서치,562020
142,WMG,Warner Music Group Corp Class A,미디어 및 출판,533020
143,ROKU,Roku Inc Class A,미디어 및 출판,533020
144,HZNP,Horizon Therapeutics PLC,제약,562010
145,JBHT,J B Hunt Transport Services Inc,화물 및 물류 서비스,524050
146,SSNC,SS&C Technologies Holdings Inc,소프트웨어 및 IT서비스,572010
147,PFG,Principal Financial Group Inc,보험,553010
148,VIAC,ViacomCBS Inc Class B,미디어 및 출판,533020
149,ULTA,Ulta Beauty Inc,전문품 상점,534030
150,EXPD,Expeditors International of Washington Inc,화물 및 물류 서비스,524050
151,TW,Tradeweb Markets Inc Class A,투자은행 및 서비스,551020
152,NTAP,NetApp Inc,"컴퓨터, 전화 및 가전제품",571060
153,SBNY,Signature Bank,은행,551010
154,ZI,ZoomInfo Technologies Inc Class A,소프트웨어 및 IT서비스,572010
155,CINF,Cincinnati Financial Corp,보험,553010
156,TER,Teradyne Inc,반도체 및 반도체 장비,571010
157,TTWO,Take-Two Interactive Software Inc,레저 상품,532050
158,POOL,Pool Corp,레저 상품,532050
159,AKAM,Akamai Technologies Inc,소프트웨어 및 IT서비스,572010
160,ETSY,ETSY Inc,다양한 소매업,534020
161,VTRS,Viatris Inc,제약,562010
162,NUAN,Nuance Communications Inc,소프트웨어 및 IT서비스,572010
163,XP,Xp Inc Class A,투자은행 및 서비스,551020
164,SPLK,Splunk Inc,소프트웨어 및 IT서비스,572010
165,ACGL,Arch Capital Group Ltd,보험,553010
166,HOLX,Hologic Inc,헬스케어 장비 및 용품,561010
167,TRMB,Trimble Inc,소프트웨어 및 IT서비스,572010
168,WDC,Western Digital Corp,"컴퓨터, 전화 및 가전제품",571060
169,CG,Carlyle Group Inc,투자은행 및 서비스,551020
170,MPWR,Monolithic Power Systems Inc,반도체 및 반도체 장비,571010
171,PPD,PPD Inc,생명과학 및 메디컬 리서치,562020
172,ENPH,Enphase Energy Inc,재생에너지,502010
173,DISH,DISH Network Corp Class A,미디어 및 출판,533020
174,INCY,Incyte Corp,생명과학 및 메디컬 리서치,562020
175,LKQ,LKQ Corp,자동차 및 자동차 부품,531010
176,CHKP,Check Point Software Technologies Ltd,소프트웨어 및 IT서비스,572010
177,TCOM,Trip.com Group Ltd ADR,호텔 및 엔터테인먼트,533010
178,DKNG,DraftKings Inc Class A,호텔 및 엔터테인먼트,533010
179,YNDX,Yandex NV Class A,소프트웨어 및 IT서비스,572010
180,CFLT,Confluent Inc Class A,소프트웨어 및 IT서비스,572010
181,BMRN,Biomarin Pharmaceutical Inc,제약,562010
182,ALNY,Alnylam Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
183,CZR,Caesars Entertainment Inc,호텔 및 엔터테인먼트,533010
184,NICE,Nice Ltd ADR,소프트웨어 및 IT서비스,572010
185,ENTG,Entegris Inc,반도체 및 반도체 장비,571010
186,NLOK,NortonLifeLock Inc,소프트웨어 및 IT서비스,572010
187,IEP,Icahn Enterprises LP Unit,오일 및 가스,501020
188,XM,Qualtrics International Inc Class A,소프트웨어 및 IT서비스,572010
189,LNT,Alliant Energy Corp,전기 유틸리티,591010
190,AFRM,Affirm Holdings Inc Class A,소프트웨어 및 IT서비스,572010
191,QRVO,Qorvo Inc,반도체 및 반도체 장비,571010
192,LOGI,Logitech International SA,"컴퓨터, 전화 및 가전제품",571060
193,TECH,Bio-Techne Corp,생명과학 및 메디컬 리서치,562020
194,PODD,Insulet Corp,헬스케어 장비 및 용품,561010
195,CHRW,CH Robinson Worldwide Inc,화물 및 물류 서비스,524050
196,UAL,United Airlines Holdings Inc,운송업,524060
197,ARGX,argenx SE ADR,생명과학 및 메디컬 리서치,562020
198,LPLA,LPL Financial Holdings Inc,투자은행 및 서비스,551020
199,NDSN,Nordson Corp,"건설장비 및 대형차, 기차, 배",521020
200,PTC,PTC Inc,소프트웨어 및 IT서비스,572010
201,OLPX,Olaplex Holdings Inc,"개인, 가정 용품 및 서비스",542010
202,ABMD,ABIOMED Inc,헬스케어 장비 및 용품,561010
203,CTXS,Citrix Systems Inc,소프트웨어 및 IT서비스,572010
204,MKTX,Marketaxess Holdings Inc,투자은행 및 서비스,551020
205,OTEX,Open Text Corp,소프트웨어 및 IT서비스,572010
206,FFIV,F5 Inc,소프트웨어 및 IT서비스,572010
207,FOXA,Fox Corp Class A,미디어 및 출판,533020
208,HAS,Hasbro Inc,레저 상품,532050
209,APA,APA Corp (US),오일 및 가스,501020
210,EXAS,Exact Sciences Corp,생명과학 및 메디컬 리서치,562020
211,REG,Regency Centers Corp,주택 및 상업용 리츠,601020
212,LYFT,Lyft Inc Class A,소프트웨어 및 IT서비스,572010
213,HST,Host Hotels & Resorts Inc,주택 및 상업용 리츠,601020
214,EWBC,East West Bancorp Inc,은행,551010
215,FWONK,Liberty Media Corp Series C,미디어 및 출판,533020
216,HTHT,Huazhu Group Ltd ADR,호텔 및 엔터테인먼트,533010
217,JKHY,Jack Henry & Associates Inc,소프트웨어 및 IT서비스,572010
218,BILI,Bilibili Inc ADR,소프트웨어 및 IT서비스,572010
219,CONE,CyrusOne Inc,주택 및 상업용 리츠,601020
220,UHAL,Amerco,화물 및 물류 서비스,524050
221,XRAY,DENTSPLY SIRONA Inc,헬스케어 장비 및 용품,561010
222,FCNCA,First Citizens BancShares Inc (Delaware) Class A,은행,551010
223,BZ,Kanzhun Ltd ADR,소프트웨어 및 IT서비스,572010
224,MORN,Morningstar Inc,전문 및 상업 서비스,522030
225,MCFE,Mcafee Corp Class A,소프트웨어 및 IT서비스,572010
226,IAC,IAC/Interactivecorp,소프트웨어 및 IT서비스,572010
227,CGNX,Cognex Corp,"건설장비 및 대형차, 기차, 배",521020
228,SEDG,Solaredge Technologies Inc,재생에너지,502010
229,MASI,Masimo Corp,헬스케어 장비 및 용품,561010
230,STLD,Steel Dynamics Inc,메탈&마이닝,512010
231,LAMR,Lamar Advertising Co Class A,주택 및 상업용 리츠,601020
232,PLUG,Plug Power Inc,재생에너지,502010
233,HCP,Hashicorp Inc Class A,소프트웨어 및 IT서비스,572010
234,ZION,Zions Bancorporation NA,은행,551010
235,BSY,Bentley Systems Inc Class B,소프트웨어 및 IT서비스,572010
236,HSIC,Henry Schein Inc,헬스케어 장비 및 용품,561010
237,ARCC,Ares Capital Corp,다양한 금융서비스,555010
238,AAL,American Airlines Group Inc,운송업,524060
239,GLPI,Gaming and Leisure Properties Inc,주택 및 상업용 리츠,601020
240,PCTY,Paylocity Holding Corp,소프트웨어 및 IT서비스,572010
241,LSXMK,Liberty Media Corp Series C,미디어 및 출판,533020
242,HOOD,Robinhood Markets Inc Class A,핀테크,573010
243,TPG,TPG Inc Class A,투자은행 및 서비스,551020
244,MIDD,Middleby Corp,가정용품,532040
245,NWL,Newell Brands Inc,가정용품,532040
246,GRUB,Just Eat Takeaway.com NV ADR,소프트웨어 및 IT서비스,572010
247,RGEN,Repligen Corp,헬스케어 장비 및 용품,561010
248,AZPN,Aspen Technology Inc,소프트웨어 및 IT서비스,572010
249,ZNGA,Zynga Inc Class A,소프트웨어 및 IT서비스,572010
250,TXG,10X Genomics Inc,헬스케어 장비 및 용품,561010
251,WYNN,Wynn Resorts Ltd,호텔 및 엔터테인먼트,533010
252,BRKR,Bruker Corp,헬스케어 장비 및 용품,561010
253,CNXC,Concentrix Corp,전문 및 상업 서비스,522030
254,CREE,Cree Inc,반도체 및 반도체 장비,571010
255,CAR,Avis Budget Group Inc,운송업,524060
256,DOX,Amdocs Ltd,소프트웨어 및 IT서비스,572010
257,SOFI,SoFi Technologies Inc,은행,551010
258,DBX,Dropbox Inc Class A,소프트웨어 및 IT서비스,572010
259,LBTYK,Liberty Global PLC Class C,통신 서비스,574010
260,COUP,Coupa Software Inc,소프트웨어 및 IT서비스,572010
261,AXON,Axon Enterprise Inc,우주항공 및 국방,521010
262,SYNH,Syneos Health Inc Class A,생명과학 및 메디컬 리서치,562020
263,FOX,Fox Corp Class B,미디어 및 출판,533020
264,UTHR,United Therapeutics Corp,생명과학 및 메디컬 리서치,562020
265,GTLB,GitLab Inc Class A,소프트웨어 및 IT서비스,572010
266,Z,Zillow Group Inc Class C,부동산 운영 관리,601010
267,FIVE,Five Below Inc,다양한 소매업,534020
268,GDRX,Goodrx Holdings Inc Class A,소프트웨어 및 IT서비스,572010
269,HTZ,Hertz Global Holdings Inc,운송업,524060
270,JAZZ,Jazz Pharmaceuticals PLC,제약,562010
271,NWSA,News Corp Class A,미디어 및 출판,533020
272,PBCT,People's United Financial Inc,은행,551010
273,CBSH,Commerce Bancshares Inc,은행,551010
274,DISCK,Discovery Inc Series C,미디어 및 출판,533020
275,MNDY,Monday.Com Ltd,소프트웨어 및 IT서비스,572010
276,CHK,Chesapeake Energy Corp,오일 및 가스,501020
277,MKSI,MKS Instruments Inc,"건설장비 및 대형차, 기차, 배",521020
278,FIVN,Five9 Inc,소프트웨어 및 IT서비스,572010
279,ERIE,Erie Indemnity Co Class A,보험,553010
280,WSC,Willscot Mobile Mini Holdings Corp Class A,전문 및 상업 서비스,522030
281,MANH,Manhattan Associates Inc,소프트웨어 및 IT서비스,572010
282,PTON,Peloton Interactive Inc Class A,레저 상품,532050
283,NVEI,Nuvei Corp,소프트웨어 및 IT서비스,572010
284,SEIC,SEI Investments Co,투자은행 및 서비스,551020
285,AGNC,AGNC Investment Corp,주택 및 상업용 리츠,601020
286,FSLR,First Solar Inc,재생에너지,502010
287,CACC,Credit Acceptance Corp,은행,551010
288,CHDN,Churchill Downs Inc,호텔 및 엔터테인먼트,533010
289,IPGP,IPG Photonics Corp,전자 장비 및 부품,571040
290,WB,Weibo Corp ADR,미디어 및 출판,533020
291,PAA,Plains All American Pipeline Units,오일 및 가스 장비 및 서비스,501030
292,PEGA,Pegasystems Inc,소프트웨어 및 IT서비스,572010
293,GNTX,Gentex Corp,자동차 및 자동차 부품,531010
294,UPST,Upstart Holdings Inc,은행,551010
295,FLEX,Flex Ltd,전자 장비 및 부품,571040
296,LECO,Lincoln Electric Holdings Inc,"건설장비 및 대형차, 기차, 배",521020
297,DLO,Dlocal Ltd Class A,전문 및 상업 서비스,522030
298,PNFP,Pinnacle Financial Partners Inc,은행,551010
299,PENN,Penn National Gaming Inc,호텔 및 엔터테인먼트,533010
300,ESLT,Elbit Systems Ltd,우주항공 및 국방,521010
301,SYNA,Synaptics Inc,"컴퓨터, 전화 및 가전제품",571060
302,TNDM,Tandem Diabetes Care Inc,헬스케어 장비 및 용품,561010
303,EEFT,Euronet Worldwide Inc,전문 및 상업 서비스,522030
304,LITE,Lumentum Holdings Inc,커뮤니케이션 및 네트워킹,571020
305,SAIA,Saia Inc,화물 및 물류 서비스,524050
306,MAT,Mattel Inc,레저 상품,532050
307,TTEK,Tetra Tech Inc,전문 및 상업 서비스,522030
308,BPOP,Popular Inc,은행,551010
309,CASY,Caseys General Stores Inc,식품 및 약품소매,543010
310,NBIX,Neurocrine Biosciences Inc,생명과학 및 메디컬 리서치,562020
311,AVGOP,Broadcom Inc Convertible Preference Shares Series A,반도체 및 반도체 장비,571010
312,GDS,GDS Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
313,WWD,Woodward Inc,"건설장비 및 대형차, 기차, 배",521020
314,BOKF,BOK Financial Corp,은행,551010
315,FSV,FirstService Corp,부동산 운영 관리,601010
316,EVO,Evotec SE ADR,생명과학 및 메디컬 리서치,562020
317,LSCC,Lattice Semiconductor Corp,반도체 및 반도체 장비,571010
318,WIX,Wix.Com Ltd,소프트웨어 및 IT서비스,572010
319,FFIN,First Financial Bankshares Inc,은행,551010
320,OLED,Universal Display Corp,반도체 및 반도체 장비,571010
321,PPC,Pilgrims Pride Corp,식품 및 담배,541020
322,RGLD,Royal Gold Inc,메탈&마이닝,512010
323,ASND,Ascendis Pharma A/S ADR,생명과학 및 메디컬 리서치,562020
324,MRVI,Maravai LifeSciences Holdings Inc Class A,생명과학 및 메디컬 리서치,562020
325,DOOO,BRP Inc,레저 상품,532050
326,OMCL,Omnicell Inc,헬스케어 장비 및 용품,561010
327,FYBR,Frontier Communications Parent Inc,통신 서비스,574010
328,NXST,Nexstar Media Group Inc Class A,미디어 및 출판,533020
329,REYN,Reynolds Consumer Products Inc,가정용품,532040
330,IIVI,II-VI Inc,전자 장비 및 부품,571040
331,LFUS,Littelfuse Inc,"건설장비 및 대형차, 기차, 배",521020
332,GH,Guardant Health Inc,생명과학 및 메디컬 리서치,562020
333,NVCR,Novocure Ltd,헬스케어 장비 및 용품,561010
334,COHR,Coherent Inc,전자 장비 및 부품,571040
335,CIGI,Colliers International Group Inc,부동산 운영 관리,601010
336,PLTK,Playtika Holding Corp,소프트웨어 및 IT서비스,572010
337,NTLA,Intellia Therapeutics Inc,생명과학 및 메디컬 리서치,562020
338,SLAB,Silicon Laboratories Inc,반도체 및 반도체 장비,571010
339,RCM,R1 RCM Inc,헬스케어 업체 및 서비스,561020
340,OZK,Bank Ozk,은행,551010
341,MRTX,Mirati Therapeutics Inc,생명과학 및 메디컬 리서치,562020
342,CHNG,Change Healthcare Inc,소프트웨어 및 IT서비스,572010
343,MEDP,Medpace Holdings Inc,생명과학 및 메디컬 리서치,562020
344,NTRA,Natera Inc,헬스케어 장비 및 용품,561010
345,TWKS,Thoughtworks Holding Inc,소프트웨어 및 IT서비스,572010
346,SRPT,Sarepta Therapeutics Inc,생명과학 및 메디컬 리서치,562020
347,SSB,SouthState Corp,은행,551010
348,LSTR,Landstar System Inc,화물 및 물류 서비스,524050
349,PDCE,PDC Energy Inc,오일 및 가스,501020
350,AZTA,Azenta Inc,반도체 및 반도체 장비,571010
351,COLM,Columbia Sportswear Co,섬유 및 의류,532020
352,FUTU,Futu Holdings Ltd ADR,핀테크,573010
353,VLY,Valley National Bancorp,은행,551010
354,DSGX,Descartes Systems Group Inc,소프트웨어 및 IT서비스,572010
355,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,533010
356,GT,Goodyear Tire & Rubber Co,자동차 및 자동차 부품,531010
357,SHC,Sotera Health Co,전문 및 상업 서비스,522030
358,MQ,Marqeta Inc Class A,핀테크,573010
359,ARNA,Arena Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
360,CROX,Crocs Inc,섬유 및 의류,532020
361,NVAX,Novavax Inc,생명과학 및 메디컬 리서치,562020
362,EXEL,Exelixis Inc,생명과학 및 메디컬 리서치,562020
363,WTFC,Wintrust Financial Corp,은행,551010
364,VIRT,Virtu Financial Inc Class A,투자은행 및 서비스,551020
365,FRSH,Freshworks Inc Class A,소프트웨어 및 IT서비스,572010
366,PACW,PacWest Bancorp,은행,551010
367,WOOF,Petco Health and Wellness Company Inc Class A,전문품 상점,534030
368,NTNX,Nutanix Inc Class A,소프트웨어 및 IT서비스,572010
369,IART,Integra Lifesciences Holdings Corp,헬스케어 장비 및 용품,561010
370,COKE,Coca-Cola Consolidated Inc,음료,541010
371,SGMS,Scientific Games Corp,호텔 및 엔터테인먼트,533010
372,VG,Vonage Holdings Corp,통신 서비스,574010
373,MIME,Mimecast Ltd,소프트웨어 및 IT서비스,572010
374,OPEN,Opendoor Technologies Inc Class A,부동산 운영 관리,601010
375,LEGN,Legend Biotech Corp ADR,생명과학 및 메디컬 리서치,562020
376,ROLL,RBC Bearings Inc,"건설장비 및 대형차, 기차, 배",521020
377,FOXF,Fox Factory Holding Corp,자동차 및 자동차 부품,531010
378,SLM,SLM Corp,은행,551010
379,SRCL,Stericycle Inc,전문 및 상업 서비스,522030
380,NATI,National Instruments Corp,소프트웨어 및 IT서비스,572010
381,CYBR,Cyberark Software Ltd,소프트웨어 및 IT서비스,572010
382,ANAT,American National Group Inc,보험,553010
383,ARWR,Arrowhead Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
384,AMKR,Amkor Technology Inc,반도체 및 반도체 장비,571010
385,CCMP,CMC Materials Inc,반도체 및 반도체 장비,571010
386,HELE,Helen of Troy Ltd,가정용품,532040
387,RRR,Red Rock Resorts Inc Class A,호텔 및 엔터테인먼트,533010
388,RPD,Rapid7 Inc,소프트웨어 및 IT서비스,572010
389,CDK,CDK Global Inc,소프트웨어 및 IT서비스,572010
390,ZD,Ziff Davis Inc,소프트웨어 및 IT서비스,572010
391,WEN,Wendys Co,호텔 및 엔터테인먼트,533010
392,SLGN,Silgan Holdings Inc,용기 및 포장,513020
393,AUR,Aurora Innovation Inc Class A,소프트웨어 및 IT서비스,572010
394,ALGM,Allegro Microsystems Inc,반도체 및 반도체 장비,571010
395,UFPI,Ufp Industries Inc,종이 및 임산물,513010
396,ESGR,Enstar Group Ltd,보험,553010
397,BL,Blackline Inc,소프트웨어 및 IT서비스,572010
398,TENB,Tenable Holdings Inc,소프트웨어 및 IT서비스,572010
399,RUN,Sunrun Inc,재생에너지,502010
400,TFSL,TFS Financial Corp,은행,551010
401,ROIV,Roivant Sciences Ltd,생명과학 및 메디컬 리서치,562020
402,UBSI,United Bankshares Inc,은행,551010
403,CRUS,Cirrus Logic Inc,반도체 및 반도체 장비,571010
404,AMBA,Ambarella Inc,반도체 및 반도체 장비,571010
405,EXPO,Exponent Inc,전문 및 상업 서비스,522030
406,CHX,ChampionX Corp,오일 및 가스 장비 및 서비스,501030
407,QLYS,Qualys Inc,소프트웨어 및 IT서비스,572010
408,MLCO,Melco Resorts & Entertainment Ltd ADR,호텔 및 엔터테인먼트,533010
409,UMBF,UMB Financial Corp,은행,551010
410,VNOM,Viper Energy Partners LP Unit,오일 및 가스,501020
411,BCPC,Balchem Corp,식품 및 담배,541020
412,SIGI,Selective Insurance Group Inc,보험,553010
413,PINC,Premier Inc Class A,헬스케어 업체 및 서비스,561020
414,LAZR,Luminar Technologies Inc Class A,자동차 및 자동차 부품,531010
415,ACHC,Acadia Healthcare Company Inc,헬스케어 업체 및 서비스,561020
416,NOVT,Novanta Inc,전자 장비 및 부품,571040
417,ALTR,Altair Engineering Inc Class A,소프트웨어 및 IT서비스,572010
418,HWC,Hancock Whitney Corp,은행,551010
419,POWI,Power Integrations Inc,반도체 및 반도체 장비,571010
420,GLBE,Global-E Online Ltd,소프트웨어 및 IT서비스,572010
421,PAAS,Pan American Silver Corp,메탈&마이닝,512010
422,SWAV,Shockwave Medical Inc,헬스케어 장비 및 용품,561010
423,KRNT,Kornit Digital Ltd,"건설장비 및 대형차, 기차, 배",521020
424,IRDM,Iridium Communications Inc,통신 서비스,574010
